"company_name","company_number","company_status","company_type","company_subtype","removed_date","registered_date","nature_of_business","registered_office_address","postcode","sectorCodes","incorporation_year","incorporation_month","incorporation_day","dissolution_year","dissolution_month","dissolution_day","Latitude","Longitude"
"BIRMINGHAM CHARITIES LIMITED","10392574","Active","Private limited by guarantee without share capital","","","","88990","C/O Legal Services Department 10 Woodcock Street Birmingham B7 4BL","B7 4BL","88","2016","9","23","","","","52.48709366666666","-1.886592",
"HI SWEETY 8 LTD","12075790","Active","Private limited company","","","","47240","Unit 3a Wing Yip Centre 278 Thimble Mill Lane Nechells Birmingham B7 5HD","B7 5HD","47","2019","6","28","","","","52.497507413793095","-1.8711112068965519",
"RUBY 168 LTD","11403441","Active","Private limited company","","","","56103","Unit 3a Wing Yip Centre 278 Thimble Mill Lane Nechells Birmingham B7 5HD","B7 5HD","56","2018","6","7","","","","52.497507413793095","-1.8711112068965519",
"WEIPOINT LTD.","10994111","Active","Private limited company","","","","70229 82302 85600","Faraday Wharf Innovation Birmingham Campus Holt Street Birmingham B7 4BB","B7 4BB","70 82 85","2017","10","3","","","","52.48882646666665","-1.8874950666666672",
"SOS INVESTMENTS LTD","11926566","Active","Private limited company","","","","45190 68209","Unit 12 Boultbee Business Units Nechells Place Birmingham B7 5AR","B7 5AR","45 68","2019","4","4","","","","52.49391192307692","-1.8675332307692305",
"OPEN KITCHEN 168 LTD","11572497","Active","Private limited company","","","","56103","Unit 3a Wing Yip Centre 278 Thimble Mill Lane Nechells Birmingham B7 5HD","B7 5HD","56","2018","9","17","","","","52.497507413793095","-1.8711112068965519",
"PLH LIMO HIRE LTD","11749452","Active","Private limited company","","","","49390","Unit 11 Dartmouth Middleway Birmingham B7 4AT","B7 4AT","49","2019","1","4","","","","52.4900486","-1.887754",
"JASMINE 118 LTD","11021012","Active","Private limited company","","","","56103","Unit 3a Wing Yip Centre 278 Thimble Mill Lane Nechells Birmingham B7 5HD","B7 5HD","56","2017","10","19","","","","52.497507413793095","-1.8711112068965519",
"BATEMAN EXTRACTION SERVICES LTD","11052766","Active","Private limited company","","","","43290","12 Phoenix Business Park Avenue Close Birmingham B7 4NU","B7 4NU","43","2017","11","8","","","","52.49467","-1.879562",
"HILL & CO. CONSULTING LTD","10872698","Active","Private limited company","","","","96090","Onyx House 12 Phoenix Business Park Avenue Close Birmingham B7 4NU","B7 4NU","96","2017","7","18","","","","52.49467","-1.879562",
"KNIGHTLOW FITNESS STUDIO LTD","10898340","Active","Private limited company","","","","93130","Onyx House 12 Phoenix Business Park Avenue Close Birmingham B7 4NU","B7 4NU","93","2017","8","3","","","","52.49467","-1.879562",
"SOFTDEV LIMITED","7272993","Active","Private limited company","","","","62012","5-129 Cromwell Street Birmingham B7 5BA","B7 5BA","62","2010","6","3","","","","52.49560683333333","-1.8746859999999999",
"DYNAMIC PERFORMANCE LIMITED","7437076","Active","Private limited company","","","","45200","Unit 26 Phoenix Business Park Avenue Road Aston Birmingham B7 4NU","B7 4NU","45","2010","11","11","","","","52.49467","-1.879562",
